strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-07T18:54:00.000Z,2025-08-07T19:17:59.999Z,7,-1.078363,0.0126,0.9168,-107.8363,17.8239,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-07T21:48:00.000Z,2025-08-07T22:23:59.999Z,11,-1.069812,0.6589,0.8683,-106.9812,15.7281,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-08-07T23:09:00.000Z,2025-08-08T00:11:59.999Z,20,-0.571745,0.3274,0.8234,-57.1745,10.1071,LATE,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-08-08T00:39:00.000Z,2025-08-08T01:35:59.999Z,18,1.289714,1.3513,0.1190,128.9714,4.3785,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-08T02:45:00.000Z,2025-08-08T02:50:59.999Z,1,-1.077760,0.0007,0.8781,-107.7760,17.9054,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-08-08T06:15:00.000Z,2025-08-08T07:17:59.999Z,20,-0.388076,1.0022,0.2369,-38.8076,16.8298,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-08-08T07:18:00.000Z,2025-08-08T08:20:59.999Z,20,-0.157709,0.2466,0.6619,-15.7709,16.8164,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-08T13:36:00.000Z,2025-08-08T13:41:59.999Z,1,-1.061802,0.2983,0.8382,-106.1802,14.1885,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-08-08T14:15:00.000Z,2025-08-08T15:17:59.999Z,20,0.244124,0.5663,0.5346,24.4124,6.6032,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-08T16:06:00.000Z,2025-08-08T17:05:59.999Z,19,-1.048888,0.3691,1.0092,-104.8888,10.7789,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-08T18:48:00.000Z,2025-08-08T19:02:59.999Z,4,-1.053133,0.1090,0.9543,-105.3133,12.0942,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-09T03:12:00.000Z,2025-08-09T03:44:59.999Z,10,-1.084281,0.4499,0.9462,-108.4281,19.0683,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-09T08:54:00.000Z,2025-08-09T09:47:59.999Z,17,-1.048926,0.4264,2.3956,-104.8926,10.8306,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-09T19:39:00.000Z,2025-08-09T19:44:59.999Z,1,-1.071597,0.1149,0.9460,-107.1597,16.4698,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-08-09T21:21:00.000Z,2025-08-09T22:23:59.999Z,20,-1.044040,0.6277,1.3824,-104.4040,9.6713,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-08-09T22:33:00.000Z,2025-08-09T22:47:59.999Z,4,1.254471,1.3418,0.0171,125.4471,5.1399,LATE,1
