strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-07T18:54:00.000Z,2025-08-07T19:17:59.999Z,7,-1.154489,0.0000,1.0701,-115.4489,25.4321,NY,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-07T21:48:00.000Z,2025-08-07T21:50:59.999Z,0,-1.135421,0.0843,0.9097,-113.5421,22.4388,LATE,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-07T21:54:00.000Z,2025-08-07T22:47:59.999Z,17,-1.105966,0.5436,1.5516,-110.5966,17.2251,LATE,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-07T23:09:00.000Z,2025-08-07T23:59:59.999Z,16,-1.088902,0.1633,0.9099,-108.8902,14.4450,LATE,-1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-08T00:39:00.000Z,2025-08-08T01:41:59.999Z,20,0.979523,1.2850,0.1854,97.9523,10.9525,ASIA,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-08T02:45:00.000Z,2025-08-08T02:47:59.999Z,0,-1.154076,0.0000,0.8379,-115.4076,25.5484,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-08T06:15:00.000Z,2025-08-08T07:17:59.999Z,20,-0.604333,0.8582,0.3811,-60.4333,24.0342,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-08T07:18:00.000Z,2025-08-08T07:20:59.999Z,0,-1.145138,0.0000,0.8062,-114.5138,24.0586,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-08T13:36:00.000Z,2025-08-08T13:41:59.999Z,1,-1.122355,0.1771,0.9595,-112.2355,20.2399,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-08T14:15:00.000Z,2025-08-08T15:17:59.999Z,20,0.159063,0.5096,0.5913,15.9063,9.4376,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-08T16:06:00.000Z,2025-08-08T17:05:59.999Z,19,-1.094834,0.2759,1.1024,-109.4834,15.3704,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-08T18:48:00.000Z,2025-08-08T19:02:59.999Z,4,-1.104714,0.0057,1.0576,-110.4714,17.2489,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-09T03:12:00.000Z,2025-08-09T03:44:59.999Z,10,-1.165739,0.2869,1.1094,-116.5739,27.2094,ASIA,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-09T08:54:00.000Z,2025-08-09T09:47:59.999Z,17,-1.095094,0.3340,2.4882,-109.5094,15.4444,LONDON,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-09T13:27:00.000Z,2025-08-09T13:50:59.999Z,7,1.033600,1.3601,0.1276,103.3600,14.7902,NY,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-09T19:39:00.000Z,2025-08-09T19:44:59.999Z,1,-1.141923,0.0000,1.0869,-114.1923,23.4981,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-09T21:21:00.000Z,2025-08-09T22:23:59.999Z,20,-1.085242,0.5453,1.4650,-108.5242,13.7887,LATE,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-09T22:33:00.000Z,2025-08-09T22:50:59.999Z,5,1.215794,1.6331,0.0946,121.5794,9.0097,LATE,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-10T00:36:00.000Z,2025-08-10T00:41:59.999Z,1,-1.136713,0.0000,0.8255,-113.6713,22.6308,ASIA,-1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-10T11:51:00.000Z,2025-08-10T11:59:59.999Z,2,-1.103915,0.0000,1.1976,-110.3915,17.3783,LONDON,1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-10T13:18:00.000Z,2025-08-10T13:32:59.999Z,4,-1.152104,0.1789,0.8607,-115.2104,25.3232,NY,1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-10T13:57:00.000Z,2025-08-10T13:59:59.999Z,0,-1.136245,0.0030,0.8124,-113.6245,22.7911,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-11T00:03:00.000Z,2025-08-11T00:17:59.999Z,4,-1.163555,0.5763,1.0488,-116.3555,27.0160,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-11T00:39:00.000Z,2025-08-11T01:20:59.999Z,13,-1.092725,0.0426,0.8630,-109.2725,15.1182,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-11T02:18:00.000Z,2025-08-11T03:20:59.999Z,20,0.309003,0.7255,0.1571,30.9003,11.4643,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-11T04:54:00.000Z,2025-08-11T05:44:59.999Z,16,1.027406,1.2517,0.2214,102.7406,14.9487,ASIA,1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-11T09:33:00.000Z,2025-08-11T09:41:59.999Z,2,-1.157317,0.0000,0.8766,-115.7317,26.2408,LONDON,1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-11T10:33:00.000Z,2025-08-11T10:47:59.999Z,4,-1.094734,0.0000,0.8604,-109.4734,15.8216,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,1,TIME,2025-08-11T22:03:00.000Z,2025-08-11T23:05:59.999Z,20,0.178748,0.6520,0.7261,17.8748,12.6346,LATE,-1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-12T06:42:00.000Z,2025-08-12T07:44:59.999Z,20,-0.901097,0.6161,0.6991,-90.1097,18.9839,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-12T08:21:00.000Z,2025-08-12T08:41:59.999Z,6,-1.157749,0.7146,1.1522,-115.7749,25.9984,LONDON,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-12T08:42:00.000Z,2025-08-12T09:23:59.999Z,13,1.063785,1.2158,0.6714,106.3785,13.8081,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-12T10:27:00.000Z,2025-08-12T11:11:59.999Z,14,1.013643,1.9371,0.2399,101.3643,15.3934,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,1,TARGET,2025-08-12T11:42:00.000Z,2025-08-12T12:26:59.999Z,14,0.979816,1.9008,0.4448,97.9816,16.4967,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-12T17:30:00.000Z,2025-08-12T17:59:59.999Z,9,-1.091566,0.1846,1.0104,-109.1566,14.9889,NY,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-12T19:18:00.000Z,2025-08-12T19:59:59.999Z,13,-1.121724,0.2476,0.9727,-112.1724,19.8871,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-12T23:03:00.000Z,2025-08-12T23:29:59.999Z,8,-1.111764,0.0123,0.8669,-111.1764,18.3432,LATE,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-13T00:03:00.000Z,2025-08-13T00:26:59.999Z,7,-1.106267,0.0000,0.8647,-110.6267,17.4525,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-13T00:27:00.000Z,2025-08-13T00:41:59.999Z,4,-1.122255,0.3469,0.9976,-112.2255,20.1605,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-13T08:03:00.000Z,2025-08-13T08:14:59.999Z,3,-1.144395,0.0000,0.7864,-114.4395,23.8603,LONDON,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-13T09:18:00.000Z,2025-08-13T09:23:59.999Z,1,-1.160902,0.0000,1.0606,-116.0902,26.6584,LONDON,1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-13T11:15:00.000Z,2025-08-13T12:17:59.999Z,20,-0.403596,1.0461,0.1810,-40.3596,21.6316,LONDON,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-13T14:45:00.000Z,2025-08-13T15:08:59.999Z,7,1.282107,1.3668,0.0767,128.2107,6.8988,NY,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-14T02:27:00.000Z,2025-08-14T02:35:59.999Z,2,-1.126871,0.0000,1.2165,-112.6871,20.9702,ASIA,-1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-14T03:42:00.000Z,2025-08-14T04:20:59.999Z,12,-1.119648,0.2427,0.8463,-111.9648,19.5657,ASIA,1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-14T12:18:00.000Z,2025-08-14T12:32:59.999Z,4,-1.105906,0.5316,3.1854,-110.5906,17.6720,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-14T12:33:00.000Z,2025-08-14T12:35:59.999Z,0,-1.056948,0.2118,2.8910,-105.6948,9.6037,LONDON,1
scalp_fade_3m,ETHUSDT,3m,1,TIME,2025-08-14T21:51:00.000Z,2025-08-14T22:53:59.999Z,20,0.613062,0.9183,0.7885,61.3062,10.2869,LATE,1
scalp_fade_3m,ETHUSDT,3m,1,TARGET,2025-08-14T23:57:00.000Z,2025-08-15T00:47:59.999Z,16,1.099503,1.9810,0.2015,109.9503,12.6986,LATE,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-15T03:03:00.000Z,2025-08-15T03:32:59.999Z,9,-1.118315,0.1624,1.0112,-111.8315,19.4061,ASIA,1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-15T03:42:00.000Z,2025-08-15T04:44:59.999Z,20,0.197201,0.5960,0.5057,19.7201,19.8680,ASIA,-1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-15T07:06:00.000Z,2025-08-15T08:08:59.999Z,20,-0.113309,0.8298,0.5460,-11.3309,23.2735,LONDON,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-15T12:33:00.000Z,2025-08-15T13:35:59.999Z,20,1.268179,1.3855,0.1922,126.8179,7.3140,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-15T13:36:00.000Z,2025-08-15T13:44:59.999Z,2,-1.075267,0.0920,1.0138,-107.5267,12.6238,NY,-1
scalp_fade_3m,ETHUSDT,3m,1,TIME,2025-08-15T20:45:00.000Z,2025-08-15T21:47:59.999Z,20,0.030651,0.8918,0.5367,3.0651,16.1559,NY,-1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-16T09:00:00.000Z,2025-08-16T09:50:59.999Z,16,-1.165065,0.8278,0.7874,-116.5065,27.1321,LONDON,1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-16T11:27:00.000Z,2025-08-16T11:53:59.999Z,8,-1.140876,0.2575,1.2317,-114.0876,23.3667,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,1,TIME,2025-08-16T13:42:00.000Z,2025-08-16T14:44:59.999Z,20,-0.270601,0.4913,0.7685,-27.0601,17.9377,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-17T00:36:00.000Z,2025-08-17T01:08:59.999Z,10,0.894169,1.5869,0.3090,89.4169,19.2015,ASIA,1
scalp_fade_3m,ETHUSDT,3m,1,TIME,2025-08-17T01:45:00.000Z,2025-08-17T02:47:59.999Z,20,0.302342,0.6804,0.3952,30.2342,20.1390,ASIA,1
scalp_fade_3m,ETHUSDT,3m,1,STOP,2025-08-17T23:45:00.000Z,2025-08-17T23:53:59.999Z,2,-1.123058,0.0000,1.4168,-112.3058,20.5552,LATE,1
scalp_fade_3m,ETHUSDT,3m,1,TIME,2025-08-18T10:54:00.000Z,2025-08-18T11:56:59.999Z,20,-0.223525,0.1278,0.8041,-22.3525,15.9302,LONDON,-1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-18T14:27:00.000Z,2025-08-18T15:29:59.999Z,20,-0.158885,0.8432,0.6089,-15.8885,10.8169,NY,-1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-18T17:51:00.000Z,2025-08-18T18:53:59.999Z,20,-0.906921,0.7392,0.7068,-90.6921,14.5721,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,TIME,2025-08-18T19:21:00.000Z,2025-08-18T20:23:59.999Z,20,0.350828,0.8161,0.1914,35.0828,14.8408,NY,1
scalp_fade_3m,ETHUSDT,3m,-1,STOP,2025-08-18T21:15:00.000Z,2025-08-18T22:02:59.999Z,15,-1.112112,0.8638,1.1979,-111.2112,18.2689,LATE,1
scalp_fade_3m,ETHUSDT,3m,-1,TARGET,2025-08-18T22:39:00.000Z,2025-08-18T22:56:59.999Z,5,1.093801,1.2466,0.1111,109.3801,12.8858,LATE,1
