strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
ts_momentum_1d,ETHUSDT,1d,1,STOP,2021-09-16T00:00:00.000Z,2021-09-21T23:59:59.999Z,5,-1.011487,0.0726,1.1968,-101.1487,0.5545,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2021-09-22T00:00:00.000Z,2021-10-06T23:59:59.999Z,14,-1.019830,0.0355,0.9977,-101.9830,0.5105,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2021-10-11T00:00:00.000Z,2021-10-31T23:59:59.999Z,20,1.353315,1.6944,0.0826,135.3315,0.8711,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2021-11-01T00:00:00.000Z,2021-11-21T23:59:59.999Z,20,-0.093821,0.7506,0.4323,-9.3821,0.7697,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2021-11-23T00:00:00.000Z,2021-12-13T23:59:59.999Z,20,0.327171,0.8556,0.8659,32.7171,0.6796,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2021-12-14T00:00:00.000Z,2022-01-03T23:59:59.999Z,20,-0.021313,0.1909,0.3684,-2.1313,0.5148,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-01-05T00:00:00.000Z,2022-01-25T23:59:59.999Z,20,2.365767,2.9835,0.1210,236.5767,0.7997,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2022-01-26T00:00:00.000Z,2022-02-08T23:59:59.999Z,13,-1.019400,0.1850,1.0464,-101.9400,0.5239,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-02-11T00:00:00.000Z,2022-02-24T23:59:59.999Z,13,-1.025301,0.2021,1.2706,-102.5301,0.6351,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-02-25T00:00:00.000Z,2022-03-17T23:59:59.999Z,20,-0.350103,0.2327,0.6573,-35.0103,0.5478,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2022-03-20T00:00:00.000Z,2022-04-09T23:59:59.999Z,20,0.589041,1.3313,0.2889,58.9041,0.9232,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-04-10T00:00:00.000Z,2022-04-25T23:59:59.999Z,15,-1.040980,0.1002,1.0299,-104.0980,0.9304,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-04-26T00:00:00.000Z,2022-05-16T23:59:59.999Z,20,2.251684,2.8939,0.0955,225.1684,0.8300,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-05-17T00:00:00.000Z,2022-06-06T23:59:59.999Z,20,0.224522,0.5088,0.1622,22.4522,0.4249,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-06-07T00:00:00.000Z,2022-06-27T23:59:59.999Z,20,1.862372,2.8058,0.0520,186.2372,0.6120,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2022-06-28T00:00:00.000Z,2022-07-18T23:59:59.999Z,20,-1.027350,0.5573,1.1596,-102.7350,0.5452,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2022-07-19T00:00:00.000Z,2022-08-08T23:59:59.999Z,20,0.455397,0.6028,0.5755,45.5397,0.5956,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-08-09T00:00:00.000Z,2022-08-27T23:59:59.999Z,18,-1.035646,0.7703,1.0242,-103.5646,0.6917,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-08-28T00:00:00.000Z,2022-09-17T23:59:59.999Z,20,0.019849,0.2401,0.8475,1.9849,0.5834,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-09-19T00:00:00.000Z,2022-10-09T23:59:59.999Z,20,-0.006829,0.3289,0.2534,-0.6829,0.5360,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-10-26T00:00:00.000Z,2022-11-08T23:59:59.999Z,13,-1.035022,1.0221,1.2432,-103.5022,0.8871,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-11-10T00:00:00.000Z,2022-11-30T23:59:59.999Z,20,-0.482045,0.0678,0.5903,-48.2045,0.3963,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2022-12-11T00:00:00.000Z,2022-12-31T23:59:59.999Z,20,-0.512659,0.5411,0.7425,-51.2659,1.0718,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-01-02T00:00:00.000Z,2023-01-08T23:59:59.999Z,6,-1.044346,0.0754,1.0467,-104.4346,1.8716,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-01-09T00:00:00.000Z,2023-01-29T23:59:59.999Z,20,3.567963,4.0780,0.0665,356.7963,2.1413,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-01-30T00:00:00.000Z,2023-02-19T23:59:59.999Z,20,0.073984,0.3994,0.7738,7.3984,0.9601,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2023-02-20T00:00:00.000Z,2023-03-09T23:59:59.999Z,17,-1.044978,0.1600,1.1803,-104.4978,0.9243,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-03-10T00:00:00.000Z,2023-03-13T23:59:59.999Z,3,-1.018257,0.3194,1.2612,-101.8257,1.0248,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-03-18T00:00:00.000Z,2023-04-07T23:59:59.999Z,20,0.189436,0.5250,0.3669,18.9436,0.8736,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2023-04-08T00:00:00.000Z,2023-04-24T23:59:59.999Z,16,-0.309027,1.3080,0.2752,-30.9027,1.1978,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-05-05T00:00:00.000Z,2023-05-25T23:59:59.999Z,20,0.233439,0.6137,0.6635,23.3439,1.1415,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-05-26T00:00:00.000Z,2023-06-15T23:59:59.999Z,20,0.709122,1.0367,0.7469,70.9122,1.4229,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-06-16T00:00:00.000Z,2023-06-21T23:59:59.999Z,5,-1.026882,0.0951,1.1918,-102.6882,1.2365,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-07-01T00:00:00.000Z,2023-07-21T23:59:59.999Z,20,-0.273007,0.4204,0.4928,-27.3007,1.1780,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-08-03T00:00:00.000Z,2023-08-23T23:59:59.999Z,20,1.040199,2.5212,0.3013,104.0199,1.8036,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-08-24T00:00:00.000Z,2023-09-13T23:59:59.999Z,20,0.282934,0.7580,0.3600,28.2934,1.1766,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-09-19T00:00:00.000Z,2023-10-01T23:59:59.999Z,12,-1.061279,0.5109,1.0433,-106.1279,1.7005,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2023-10-02T00:00:00.000Z,2023-10-09T23:59:59.999Z,7,-1.039062,0.0558,1.2528,-103.9062,1.5224,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-10-19T00:00:00.000Z,2023-10-23T23:59:59.999Z,4,-1.031598,0.1536,1.7081,-103.1598,1.6108,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-10-24T00:00:00.000Z,2023-11-13T23:59:59.999Z,20,1.439838,1.9760,0.1755,143.9838,1.4242,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-11-14T00:00:00.000Z,2023-12-04T23:59:59.999Z,20,0.694584,0.9098,0.6385,69.4584,1.2489,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-12-05T00:00:00.000Z,2023-12-25T23:59:59.999Z,20,0.028233,0.6830,0.5579,2.8233,1.3391,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-01-02T00:00:00.000Z,2024-01-22T23:59:59.999Z,20,-0.217633,1.2320,0.9868,-21.7633,1.1110,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2024-01-31T00:00:00.000Z,2024-02-12T23:59:59.999Z,12,-1.044478,0.3647,1.1732,-104.4478,1.2392,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-02-13T00:00:00.000Z,2024-03-04T23:59:59.999Z,20,3.497321,3.6483,0.2917,349.7321,1.6379,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2024-03-05T00:00:00.000Z,2024-03-19T23:59:59.999Z,14,-1.041240,0.9672,1.0016,-104.1240,0.9894,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-03-28T00:00:00.000Z,2024-04-17T23:59:59.999Z,20,0.685474,0.9975,0.3299,68.5474,0.6387,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-04-18T00:00:00.000Z,2024-05-08T23:59:59.999Z,20,-0.026609,0.2225,0.5198,-2.6609,0.5615,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2024-05-11T00:00:00.000Z,2024-05-20T23:59:59.999Z,9,-1.029053,0.1051,1.7664,-102.9053,0.9755,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-05-21T00:00:00.000Z,2024-06-10T23:59:59.999Z,20,-0.054515,0.5339,0.2474,-5.4515,0.8807,ASIA,-1
