strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
ts_momentum_1d,ETHUSDT,1d,1,STOP,2021-09-16T00:00:00.000Z,2021-09-21T23:59:59.999Z,5,-1.008229,0.0772,1.1945,-100.8229,0.3965,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2021-09-22T00:00:00.000Z,2021-10-07T23:59:59.999Z,15,-1.016466,0.0387,1.0209,-101.6466,0.3652,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2021-10-11T00:00:00.000Z,2021-10-31T23:59:59.999Z,20,1.371322,1.7037,0.0772,137.1322,0.6237,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2021-11-01T00:00:00.000Z,2021-11-21T23:59:59.999Z,20,-0.080769,0.7578,0.4277,-8.0769,0.5510,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2021-11-23T00:00:00.000Z,2021-12-13T23:59:59.999Z,20,0.339471,0.8624,0.8626,33.9471,0.4864,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2021-12-14T00:00:00.000Z,2022-01-03T23:59:59.999Z,20,-0.012528,0.1948,0.3653,-1.2528,0.3683,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-01-05T00:00:00.000Z,2022-01-25T23:59:59.999Z,20,2.386022,2.9987,0.1144,238.6022,0.5729,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2022-01-26T00:00:00.000Z,2022-02-08T23:59:59.999Z,13,-1.014995,0.1885,1.0445,-101.4995,0.3748,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-02-11T00:00:00.000Z,2022-02-24T23:59:59.999Z,13,-1.021481,0.2076,1.2682,-102.1481,0.4543,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-02-25T00:00:00.000Z,2022-03-17T23:59:59.999Z,20,-0.341247,0.2368,0.6545,-34.1247,0.3919,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2022-03-20T00:00:00.000Z,2022-04-09T23:59:59.999Z,20,0.606433,1.3409,0.2833,60.6433,0.6611,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-04-10T00:00:00.000Z,2022-04-25T23:59:59.999Z,15,-1.035093,0.1077,1.0257,-103.5093,0.6661,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-04-26T00:00:00.000Z,2022-05-16T23:59:59.999Z,20,2.272290,2.9092,0.0886,227.2290,0.5947,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-05-17T00:00:00.000Z,2022-06-06T23:59:59.999Z,20,0.232079,0.5127,0.1593,23.2079,0.3039,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-06-07T00:00:00.000Z,2022-06-27T23:59:59.999Z,20,1.876818,2.8171,0.0467,187.6818,0.4382,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2022-06-28T00:00:00.000Z,2022-07-18T23:59:59.999Z,20,-1.022812,0.5614,1.1578,-102.2812,0.3901,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2022-07-19T00:00:00.000Z,2022-08-08T23:59:59.999Z,20,0.466383,0.6078,0.5725,46.6383,0.4261,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-08-09T00:00:00.000Z,2022-08-27T23:59:59.999Z,18,-1.031437,0.7774,1.0210,-103.1437,0.4949,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-08-28T00:00:00.000Z,2022-09-17T23:59:59.999Z,20,0.029875,0.2447,0.8447,2.9875,0.4174,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-09-19T00:00:00.000Z,2022-10-09T23:59:59.999Z,20,0.002339,0.3332,0.2500,0.2339,0.3834,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2022-10-26T00:00:00.000Z,2022-11-08T23:59:59.999Z,13,-1.029431,1.0317,1.2398,-102.9431,0.6350,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2022-11-10T00:00:00.000Z,2022-11-30T23:59:59.999Z,20,-0.475761,0.0705,0.5883,-47.5761,0.2834,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2022-12-11T00:00:00.000Z,2022-12-31T23:59:59.999Z,20,-0.495802,0.5507,0.7370,-49.5802,0.7680,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-01-02T00:00:00.000Z,2023-01-08T23:59:59.999Z,6,-1.030474,0.0887,1.0392,-103.0474,1.3444,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-01-09T00:00:00.000Z,2023-01-29T23:59:59.999Z,20,3.624317,4.1136,0.0533,362.4317,1.5380,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-01-30T00:00:00.000Z,2023-02-19T23:59:59.999Z,20,0.090733,0.4073,0.7691,9.0733,0.6877,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2023-02-20T00:00:00.000Z,2023-03-09T23:59:59.999Z,17,-1.039141,0.1676,1.1766,-103.9141,0.6617,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-03-10T00:00:00.000Z,2023-03-13T23:59:59.999Z,3,-1.010280,0.3271,1.2578,-101.0280,0.7343,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-03-18T00:00:00.000Z,2023-04-07T23:59:59.999Z,20,0.204954,0.5325,0.3616,20.4954,0.6255,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2023-04-08T00:00:00.000Z,2023-04-24T23:59:59.999Z,16,-0.289457,1.3212,0.2674,-28.9457,0.8585,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-05-05T00:00:00.000Z,2023-05-25T23:59:59.999Z,20,0.253796,0.6241,0.6574,25.3796,0.8181,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-05-26T00:00:00.000Z,2023-06-15T23:59:59.999Z,20,0.736551,1.0517,0.7395,73.6551,1.0207,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-06-16T00:00:00.000Z,2023-06-21T23:59:59.999Z,5,-1.017432,0.1038,1.1874,-101.7432,0.8865,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-07-01T00:00:00.000Z,2023-07-21T23:59:59.999Z,20,-0.253625,0.4304,0.4860,-25.3625,0.8443,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-08-03T00:00:00.000Z,2023-08-23T23:59:59.999Z,20,1.076814,2.5483,0.2894,107.6814,1.2953,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2023-08-24T00:00:00.000Z,2023-09-13T23:59:59.999Z,20,0.304091,0.7692,0.3527,30.4091,0.8433,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-09-19T00:00:00.000Z,2023-10-01T23:59:59.999Z,12,-1.048717,0.5250,1.0364,-104.8717,1.2209,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2023-10-02T00:00:00.000Z,2023-10-09T23:59:59.999Z,7,-1.028981,0.0674,1.2471,-102.8981,1.0918,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2023-10-19T00:00:00.000Z,2023-10-23T23:59:59.999Z,4,-1.019506,0.1654,1.7045,-101.9506,1.1562,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-10-24T00:00:00.000Z,2023-11-13T23:59:59.999Z,20,1.469862,1.9929,0.1668,146.9862,1.0212,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-11-14T00:00:00.000Z,2023-12-04T23:59:59.999Z,20,0.718509,0.9215,0.6321,71.8509,0.8952,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2023-12-05T00:00:00.000Z,2023-12-25T23:59:59.999Z,20,0.051444,0.6952,0.5505,5.1444,0.9601,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-01-02T00:00:00.000Z,2024-01-22T23:59:59.999Z,20,-0.199177,1.2440,0.9819,-19.9177,0.7961,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2024-01-31T00:00:00.000Z,2024-02-12T23:59:59.999Z,12,-1.035085,0.3743,1.1687,-103.5085,0.8885,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-02-13T00:00:00.000Z,2024-03-04T23:59:59.999Z,20,3.539531,3.6728,0.2829,353.9531,1.1748,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2024-03-05T00:00:00.000Z,2024-03-19T23:59:59.999Z,14,-1.034936,0.9777,0.9970,-103.4936,0.7084,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-03-28T00:00:00.000Z,2024-04-17T23:59:59.999Z,20,0.697764,1.0044,0.3256,69.7764,0.4572,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-04-18T00:00:00.000Z,2024-05-08T23:59:59.999Z,20,-0.017036,0.2269,0.5166,-1.7036,0.4017,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2024-05-11T00:00:00.000Z,2024-05-20T23:59:59.999Z,9,-1.021467,0.1119,1.7645,-102.1467,0.6988,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-05-21T00:00:00.000Z,2024-06-10T23:59:59.999Z,20,-0.039477,0.5415,0.2418,-3.9477,0.6307,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-06-11T00:00:00.000Z,2024-07-01T23:59:59.999Z,20,0.547180,1.2405,0.0166,54.7180,0.9673,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2024-07-03T00:00:00.000Z,2024-07-21T23:59:59.999Z,18,-0.466101,1.9148,0.3958,-46.6101,1.0764,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2024-07-25T00:00:00.000Z,2024-08-03T23:59:59.999Z,9,-1.022883,0.1352,1.0603,-102.2883,0.6871,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-08-04T00:00:00.000Z,2024-08-24T23:59:59.999Z,20,0.234612,1.6345,0.0689,23.4612,0.5869,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2024-08-26T00:00:00.000Z,2024-09-04T23:59:59.999Z,9,-1.023293,0.0435,1.2020,-102.3293,0.6999,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-09-06T00:00:00.000Z,2024-09-26T23:59:59.999Z,20,-0.704694,0.5415,0.8369,-70.4694,0.6241,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-09-27T00:00:00.000Z,2024-10-17T23:59:59.999Z,20,-0.133603,0.2764,0.9319,-13.3603,0.7539,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2024-10-22T00:00:00.000Z,2024-11-04T23:59:59.999Z,13,-1.039755,0.1982,1.0725,-103.9755,0.8697,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2024-11-05T00:00:00.000Z,2024-11-06T23:59:59.999Z,1,-1.006500,0.0527,1.0568,-100.6500,0.7752,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-11-08T00:00:00.000Z,2024-11-28T23:59:59.999Z,20,1.485742,1.7740,0.0221,148.5742,0.7257,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2024-11-29T00:00:00.000Z,2024-12-19T23:59:59.999Z,20,-0.305759,0.8388,0.4135,-30.5759,0.5562,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2024-12-22T00:00:00.000Z,2025-01-11T23:59:59.999Z,20,0.038366,0.2305,0.5190,3.8366,0.4217,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-01-14T00:00:00.000Z,2025-02-03T23:59:59.999Z,20,0.407945,1.8439,0.6803,40.7945,0.5255,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-02-04T00:00:00.000Z,2025-02-24T23:59:59.999Z,20,0.374741,0.4479,0.0116,37.4741,0.2932,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-02-25T00:00:00.000Z,2025-03-17T23:59:59.999Z,20,1.041914,1.3928,0.0702,104.1914,0.4070,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-03-18T00:00:00.000Z,2025-04-07T23:59:59.999Z,20,0.839974,1.2071,0.4202,83.9974,0.4076,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-04-08T00:00:00.000Z,2025-04-28T23:59:59.999Z,20,-0.626024,0.4065,0.7372,-62.6024,0.4052,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2025-04-29T00:00:00.000Z,2025-05-19T23:59:59.999Z,20,2.521360,3.3194,0.2438,252.1360,0.7646,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2025-05-20T00:00:00.000Z,2025-06-09T23:59:59.999Z,20,0.239392,0.4718,0.2666,23.9392,0.4696,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2025-06-11T00:00:00.000Z,2025-06-20T23:59:59.999Z,9,-1.020335,0.1463,1.0558,-102.0335,0.6075,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2025-06-22T00:00:00.000Z,2025-07-09T23:59:59.999Z,17,-1.029281,0.4076,1.1159,-102.9281,0.5602,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2025-07-10T00:00:00.000Z,2025-07-30T23:59:59.999Z,20,2.719401,3.1294,0.0378,271.9401,0.8775,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2025-07-31T00:00:00.000Z,2025-08-20T23:59:59.999Z,20,0.936852,1.8592,0.8609,93.6852,0.7688,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2025-08-21T00:00:00.000Z,2025-09-10T23:59:59.999Z,20,-0.026448,0.8205,0.1758,-2.6448,0.5723,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-09-12T00:00:00.000Z,2025-10-02T23:59:59.999Z,20,-0.114775,1.2300,0.6053,-11.4775,0.8671,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-10-11T00:00:00.000Z,2025-10-31T23:59:59.999Z,20,-0.060728,0.1949,0.5152,-6.0728,0.4168,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,-1,TIME,2025-11-02T00:00:00.000Z,2025-11-22T23:59:59.999Z,20,1.895987,2.2090,0.0806,189.5987,0.5862,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2025-11-23T00:00:00.000Z,2025-12-10T23:59:59.999Z,17,-1.023522,0.0743,0.9976,-102.3522,0.4574,ASIA,-1
ts_momentum_1d,ETHUSDT,1d,1,TIME,2025-12-11T00:00:00.000Z,2025-12-31T23:59:59.999Z,20,-0.663946,0.0058,0.9676,-66.3946,0.5531,ASIA,1
ts_momentum_1d,ETHUSDT,1d,-1,STOP,2026-01-01T00:00:00.000Z,2026-01-06T23:59:59.999Z,5,-1.019533,0.0000,1.0727,-101.9533,0.9916,ASIA,1
ts_momentum_1d,ETHUSDT,1d,1,STOP,2026-01-07T00:00:00.000Z,2026-01-20T23:59:59.999Z,13,-1.046466,0.3500,1.2555,-104.6466,1.0222,ASIA,1
